Compound,Label,struct_file_path,maximum_MendeleevNumber,range_MendeleevNumber,avg_dev_MendeleevNumber,range_AtomicWeight,mean_AtomicWeight,avg_dev_AtomicWeight,mode_AtomicWeight,range_MeltingT,mean_MeltingT,avg_dev_MeltingT,range_Column,avg_dev_Column,mode_Column,maximum_Row,range_Row,mean_Row,avg_dev_Row,maximum_CovalentRadius,range_CovalentRadius,mean_CovalentRadius,avg_dev_CovalentRadius,minimum_Electronegativity,maximum_Electronegativity,range_Electronegativity,mean_Electronegativity,avg_dev_Electronegativity,mode_Electronegativity,avg_dev_NsValence,mode_NsValence,range_NpValence,mean_NpValence,avg_dev_NpValence,mode_NpValence,range_NdValence,mean_NdValence,avg_dev_NdValence,mode_NdValence,range_NfValence,avg_dev_NfValence,minimum_NValence,range_NValence,mean_NValence,avg_dev_NValence,mode_NValence,range_NsUnfilled,avg_dev_NsUnfilled,minimum_NpUnfilled,maximum_NpUnfilled,range_NpUnfilled,mean_NpUnfilled,avg_dev_NpUnfilled,mode_NpUnfilled,range_NdUnfilled,avg_dev_NdUnfilled,range_NfUnfilled,avg_dev_NfUnfilled,minimum_NUnfilled,range_NUnfilled,mean_NUnfilled,avg_dev_NUnfilled,mode_NUnfilled,minimum_GSvolume_pa,range_GSvolume_pa,mean_GSvolume_pa,avg_dev_GSvolume_pa,mode_GSvolume_pa,avg_dev_GSbandgap,mode_GSbandgap,avg_dev_GSmagmom,maximum_SpaceGroupNumber,range_SpaceGroupNumber,mean_SpaceGroupNumber,avg_dev_SpaceGroupNumber,mode_SpaceGroupNumber,minimum_oxidation_state,range_oxidation_state,std_dev_oxidation_state,ewald_energy_per_atom,mean_absolute_deviation_in_relative_bond_length,max_relative_bond_length,min_relative_bond_length,minimum_neighbor_distance_variation,maximum_neighbor_distance_variation,range_neighbor_distance_variation,mean_neighbor_distance_variation,avg_dev_neighbor_distance_variation,mean_absolute_deviation_in_relative_cell_size,gii,struct_ordered,struct_disordered,avg_mm_dists,max_mx_dists,min_mx_dists,avg_mx_dists,max_xx_dists,min_xx_dists,avg_xx_dists,v_m,v_x,iv,iv_p1,est_hubbard_u,est_charge_trans,volume_per_site
SrCrO3,0,../data/Structures/Metals/SrCrO3_CollCode_245834.cif,87,79,28.08,71.6206,37.52286,25.828152,15.9994,2125.2,678.88,748.896,14,5.76,16,5,3,3,1.2,195,129,106.4,48.48,0.95,3.44,2.49,2.586,1.0248,3.44,0.32,2,4,2.4,1.92,4,5,1,1.6,0,0,0,2,4,5.2,1.28,6,1,0.32,0,2,2,1.2,0.96,2,5,1.6,0,0,0,6,2.4,1.44,2,9.105,45.125,18.547,14.2732,9.105,0,0,0,229,217,98,103.2,12,-2,6,3.380617019,-37.32883003,0.084157582,1.116671577,0.789606045,1.1626E-16,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.362254941,1,0,3.8198,1.9099,1.9099,1.9099,2.701006483,2.701006483,2.701006483,-46.65981243,24.33708519,49.16,69.46,16.53026075,6.586603112,11.1468426
SrFeO3,0,../data/Structures/Metals/SrFeO3_CollCode_91062.cif,87,79,26.64,71.6206,38.29264,26.751888,15.9994,1756.2,605.08,660.336,14,5.28,16,5,3,3,1.2,195,129,105,46.8,0.95,3.44,2.49,2.62,0.984,3.44,0,2,4,2.4,1.92,4,6,1.2,1.92,0,0,0,2,6,5.6,1.44,6,0,0,0,2,2,1.2,0.96,2,4,1.28,0,0,0,4,2,0.8,2,9.105,45.125,18.455,14.31,9.105,0,0,0.675412096,229,217,98,103.2,12,-2,6,3.380617019,-37.02639962,0.084157582,1.116671577,0.789606045,8.15421E-17,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.277240952,1,0,3.851,1.9255,1.9255,1.9255,2.723068214,2.723068214,2.723068214,-46.28178435,24.13991119,54.91,75,16.35080239,0.322484318,11.42222081
SrLaCuO4,0,../data/Structures/Metals/LaSrCuO4_CollCode_10252.cif,87,79,29.34693878,122.90607,50.58129571,39.52216653,15.9994,1302.97,545.71,561.04,14,5.224489796,16,6,4,3.285714286,1.469387755,207,141,114,54.85714286,0.95,3.44,2.49,2.53,1.04,3.44,0.244897959,2,4,2.285714286,1.959183673,4,10,1.571428571,2.408163265,0,0,0,2,9,5.714285714,1.836734694,6,1,0.244897959,0,2,2,1.142857143,0.979591837,2,9,2.204081633,0,0,0,9,2.571428571,1.836734694,2,9.105,45.125,19.8025,14.72071429,9.105,0,0,0,225,213,98.85714286,99.26530612,12,-2,5,2.977694858,-28.81685077,0.079291688,1.094680932,0.788006321,0.016405164,0.139030852,0.122625689,0.083876714,0.038716885,0.201928696,0.277240952,0,1,7.149184394,2.24263,1.8825,2.062565,3.421840816,2.662257031,2.966017625,-36.44839978,23.90546472,36.841,57.38,18.52483318,8.820620038,13.43608827
SrLaNiO4,0,../data/Structures/Metals/LaSrNiO4_CollCode_69174.cif,87,79,29.2244898,122.90607,49.88806714,38.72990531,15.9994,1673.2,598.6,621.4857143,14,5.387755102,16,6,4,3.285714286,1.469387755,207,141,112.8571429,53.55102041,0.95,3.44,2.49,2.531428571,1.038367347,3.44,0,2,4,2.285714286,1.959183673,4,8,1.285714286,1.918367347,0,0,0,2,8,5.571428571,1.755102041,6,0,0,0,2,2,1.142857143,0.979591837,2,9,2.244897959,0,0,0,9,2.714285714,1.795918367,2,9.105,45.125,19.69535714,14.78193878,9.105,0,0,0.145810947,225,213,98.85714286,99.26530612,12,-2,5,2.977694858,-29.1705813,0.07699955,1.087788464,0.783530614,0.035224924,0.122308643,0.08708372,0.076896331,0.033264033,0.202457474,0.277240952,0,1,6.764493538,2.046,1.9129,1.97945,3.429582601,2.705249123,2.889769753,-37.25404932,23.57786555,35.187,54.92,17.60428927,10.65952765,12.96397471
SrMoO3,0,../data/Structures/Metals/SrMoO3_CollCode_174208.cif,87,79,27.84,79.9606,46.31564,36.379488,15.9994,2841.2,822.08,920.736,14,5.76,16,5,3,3.2,1.44,195,129,109.4,52.08,0.95,3.44,2.49,2.686,0.9048,3.44,0.32,2,4,2.4,1.92,4,5,1,1.6,0,0,0,2,4,5.2,1.28,6,1,0.32,0,2,2,1.2,0.96,2,5,1.6,0,0,0,6,2.4,1.44,2,9.105,45.125,19.447,13.9132,9.105,0,0,0,229,217,98,103.2,12,-2,6,3.380617019,-35.86152852,0.084157582,1.116671577,0.789606045,1.1169E-16,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.27709566,1,0,3.97609,1.988045,1.988045,1.988045,2.811520202,2.811520202,2.811520202,-44.82573371,23.38045618,40.33,54.417,10.46543962,12.92225313,12.57183332
SrOsO3,0,../data/Structures/Metals/SrOsO3_SD_0375560.cif,87,79,26.16,174.2306,65.16964,59.004288,15.9994,3251.2,904.08,1019.136,14,5.28,16,6,4,3.4,1.68,195,129,107.4,49.68,0.95,3.44,2.49,2.694,0.8952,3.44,0,2,4,2.4,1.92,4,6,1.2,1.92,0,14,4.48,2,20,8.4,5.44,6,0,0,0,2,2,1.2,0.96,2,4,1.28,0,0,0,4,2,0.8,2,9.105,45.125,19.127,14.0412,9.105,0,0,0,225,213,91,94.8,12,-2,6,3.380617019,-35.47214492,0.065569453,1.043615392,0.836076366,0.008253924,0.155163807,0.146909883,0.103660607,0.045636283,0.116887003,0.622055574,1,0,3.942544472,2.060154312,2.043927879,2.053738147,3.248982107,2.859020899,2.962373966,-42.74729323,23.48468107,41,55,10.34762522,10.50972404,12.232597
SrRhO3,0,../data/Structures/Metals/SrRhO3_SD_1639007.cif,87,79,25.68,86.9061,47.70474,38.046408,15.9994,2182.2,690.28,762.576,14,5.04,16,5,3,3.2,1.44,195,129,107,49.2,0.95,3.44,2.49,2.71,0.876,3.44,0.32,2,4,2.4,1.92,4,8,1.6,2.56,0,0,0,2,7,5.8,1.52,6,1,0.32,0,2,2,1.2,0.96,2,2,0.64,0,0,0,3,1.8,0.72,2,9.105,45.125,19.037,14.0772,9.105,0,0,0,225,213,97.2,102.24,12,-2,6,3.380617019,-35.99889678,0.076595864,1.080775283,0.808510341,0.016169505,0.130733992,0.114564487,0.094921649,0.042560721,0.13549367,20.50007064,1,0,3.926762866,2.040058919,1.970389677,2.000311697,3.493881206,2.737258728,2.941562741,-44.28870587,23.73558072,42,63,17.33294638,11.11476749,12.10899538
SrRuO3,0,../data/Structures/Metals/SrRuO3_CollCode_75561.cif,87,79,26.4,85.0706,47.33764,37.605888,15.9994,2552.2,764.28,851.376,14,5.28,16,5,3,3.2,1.44,195,129,107.8,50.16,0.95,3.44,2.49,2.694,0.8952,3.44,0.32,2,4,2.4,1.92,4,7,1.4,2.24,0,0,0,2,6,5.6,1.44,6,1,0.32,0,2,2,1.2,0.96,2,3,0.96,0,0,0,4,2,0.8,2,9.105,45.125,19.011,14.0876,9.105,0,0,0,225,213,91,94.8,12,-2,6,3.380617019,-36.14918227,0.079941181,1.094683762,0.800147048,0.003832314,0.125982281,0.122149966,0.087009616,0.046227726,0.141489557,0.155205961,1,0,3.924381347,1.991899022,1.978467706,1.983937671,3.579973287,2.760022955,2.94756764,-44.75848271,23.73817176,45,59,10.33072102,8.527722349,12.08996707
SrVO3,0,../data/Structures/Metals/SrVO3_CollCode_88982.cif,87,79,28.8,71.6206,37.31194,25.575048,15.9994,2128.2,679.48,749.616,14,6,16,5,3,3,1.2,195,129,109.2,51.84,0.95,3.44,2.49,2.58,1.032,3.44,0,2,4,2.4,1.92,4,3,0.6,0.96,0,0,0,2,4,5,1.2,6,0,0,0,2,2,1.2,0.96,2,7,2.24,0,0,0,7,2.6,1.76,2,9.105,45.125,18.911,14.1276,9.105,0,0,0,229,217,98,103.2,12,-2,6,3.380617019,-37.12376395,0.084157582,1.116671577,0.789606045,0,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.230191551,1,0,3.8409,1.92045,1.92045,1.92045,2.715926436,2.715926436,2.715926436,-46.40348656,24.20338931,46.709,65.28165,14.82361982,8.688999518,11.33258529
TiO,0,../data/Structures/Metals/TiO_CollCode_56612.cif,87,44,22,31.8676,31.9332,15.9338,15.9994,1886.2,997.9,943.1,12,6,4,4,2,3,1,160,94,113,47,1.54,3.44,1.9,2.49,0.95,1.54,0,2,4,2,2,0,2,1,1,0,0,0,4,2,5,1,4,0,0,0,2,2,1,1,0,8,4,0,0,2,6,5,3,2,9.105,7.585,12.8975,3.7925,9.105,0,0,1.12667E-05,194,182,103,91,12,-2,4,2.828427125,-23.94156679,1.11022E-16,1,1,0,2.46464E-16,2.46464E-16,1.10029E-16,1.10029E-16,1.43417E-16,0.277240952,1,0,2.97288904,2.10215,2.10215,2.10215,2.97288904,2.97288904,2.97288904,-23.94149857,23.94149857,13.5755,27.49171,9.072554618,19.74671801,9.289473632
TiS2,0,../data/Structures/Metals/TiS2_CollCode_52195.cif,88,45,20,15.802,37.33233333,7.023111111,32.065,1552.64,905.9066667,690.0622222,12,5.333333333,16,4,1,3.333333333,0.444444444,160,55,123.3333333,24.44444444,1.54,2.58,1.04,2.233333333,0.462222222,2.58,0,2,4,2.666666667,1.777777778,4,2,0.666666667,0.888888889,0,0,0,4,2,5.333333333,0.888888889,6,0,0,0,2,2,1.333333333,0.888888889,2,8,3.555555556,0,0,2,6,4,2.666666667,2,16.69,9.096875,22.75458333,4.043055556,25.786875,0.978666667,2.202,1.00148E-05,194,124,111.3333333,55.11111111,70,-2,6,4.242640687,-34.17672373,0.090542726,1.067907045,0.86418591,0.017338184,0.159533663,0.14219548,0.11213517,0.063197991,0.166466667,0.087541419,1,0,3.4073,2.428744025,2.428744025,2.428744025,3.460133277,3.4073,3.442522185,-30.56677409,20.69617216,43.26717,99.299,51.80571255,6.792913964,19.08739799
V7O13,0,../data/Structures/Metals/V7O13_CollCode_197.cif,87,41,18.655,34.9421,28.229135,15.8986555,15.9994,2128.2,799.67,968.331,11,5.005,16,4,2,2.7,0.91,153,87,96.45,39.585,1.63,3.44,1.81,2.8065,0.82355,3.44,0,2,4,2.6,1.82,4,3,1.05,1.365,0,0,0,5,1,5.65,0.455,6,0,0,0,2,2,1.3,0.91,2,7,3.185,0,0,2,5,3.75,2.275,2,9.105,3.905,10.47175,1.776775,9.105,0,0,0,229,217,87.95,98.735,12,-2,7,3.990279451,0,0.074643224,1.092276159,0.861233844,0.009382218,0.2297161,0.220333883,0.15142291,0.048210921,0.139215427,0,1,0,3.296975594,2.415913184,1.658985018,1.968259115,2.183924802,1.273660256,1.728792529,-44.00737333,24.35947448,41,58.19,11.97630129,10.60417726,9.925761847
VO,0,../data/Structures/Metals/VO_HT_CollCode_77705.cif,87,41,20.5,34.9421,33.47045,17.47105,15.9994,2128.2,1118.9,1064.1,11,5.5,5,4,2,3,1,153,87,109.5,43.5,1.63,3.44,1.81,2.535,0.905,1.63,0,2,4,2,2,0,3,1.5,1.5,0,0,0,5,1,5.5,0.5,5,0,0,0,2,2,1,1,0,7,3.5,0,0,2,5,4.5,2.5,2,9.105,3.905,11.0575,1.9525,9.105,0,0,0,229,217,120.5,108.5,12,-2,4,2.828427125,-24.71336344,2.77556E-17,1,1,0,2.18065E-16,2.18065E-16,3.18011E-17,4.77017E-17,1.84028E-16,0.473762042,1,0,2.88004592,2.0365,2.0365,2.0365,2.88004592,2.88004592,2.88004592,-24.71329302,24.71329302,14.634,29.3111,9.677301246,20.01098683,8.446042127
W18O49,0,../data/Structures/Metals/W18O49_CollCode_15254.cif,87,36,14.14658053,167.8406,61.09090448,65.95473789,15.9994,3640.2,1032.764179,1430.455068,10,3.929605703,16,6,4,3.074626866,1.571842281,162,96,91.79104478,37.72421475,2.36,3.44,1.08,3.149850746,0.424397416,3.44,0,2,4,2.925373134,1.571842281,4,4,1.074626866,1.571842281,0,14,5.501447984,6,14,9.76119403,5.501447984,6,0,0,0,2,2,1.462686567,0.785921141,2,6,2.357763422,0,0,2,4,3.074626866,1.571842281,2,9.105,6.945,10.9708209,2.729111161,9.105,0,0,0,229,217,70.29850746,85.27244375,12,-2,8,5.235056132,-61.75683342,0.107286729,1.192659064,0.781315324,0.015850647,0.194281785,0.178431138,0.108421041,0.033144441,0.260661437,0.307259267,1,0,3.245741977,2.222621394,1.631300557,1.948003143,2.979781807,2.111372346,2.697793903,-35.07784066,38.73931543,64.77,122.01,52.80352597,-6.055665433,13.16495659
WO2,0,../data/Structures/Metals/WO2_CollCode_8217.cif,87,36,16,167.8406,71.94626667,74.59582222,15.9994,3640.2,1268.2,1617.866667,10,4.444444444,16,6,4,3.333333333,1.777777778,162,96,98,42.66666667,2.36,3.44,1.08,3.08,0.48,3.44,0,2,4,2.666666667,1.777777778,4,4,1.333333333,1.777777778,0,14,6.222222222,6,14,10.66666667,6.222222222,6,0,0,0,2,2,1.333333333,0.888888889,2,6,2.666666667,0,0,2,4,3.333333333,1.777777778,2,9.105,6.945,11.42,3.086666667,9.105,0,0,0,229,217,84.33333333,96.44444444,12,-2,6,4.242640687,-45.0671123,0.093954262,1.078199111,0.859068606,0.037905277,0.16348087,0.125575593,0.118589077,0.0537892,0.17878144,0.149429256,1,0,2.476184128,2.10761554,1.957126301,2.007761872,3.405116885,2.699899713,2.879542216,-42.46557654,26.48401289,38.2,51.6,7.584741822,15.86678247,10.88259677
Ag2BiO3,1,../data/Structures/Insulators/Ag2BiO3_HT_CollCode_415959.cif,87,22,9.666666667,192.981,78.78583333,62.78643333,15.9994,1180.13,529.7766667,474.9766667,5,2.111111111,16,6,4,3.666666667,1.666666667,148,82,106,40,1.93,3.44,1.51,2.7,0.74,3.44,0.444444444,2,4,2.5,1.666666667,4,10,5,5,0,14,3.888888889,6,23,11.5,5.833333333,6,1,0.444444444,0,3,3,1.5,1,2,0,0,0,0,1,2,1.833333333,0.555555556,2,9.105,23.845,15.4875,6.3825,9.105,0,0,0,225,213,83,94.66666667,12,-2,5,2.549509757,-26.91963201,0.057854355,1.083157004,0.8192339,0.01466176,0.190372001,0.17571024,0.146627064,0.035432014,0.117922689,0.083760803,1,0,3.202870552,3.13233814,2.146413411,2.431059467,3.273216903,2.658829641,3.062898062,-11.89810995,22.4393816,7.576234,21.4844,9.412308373,13.12724214,15.09683689
Al2O3,1,../data/Structures/Insulators/Al2O3_CollCode_31545.cif,87,14,6.72,10.9821386,20.39225544,5.271426528,15.9994,878.67,406.268,421.7616,3,1.44,16,3,1,2.4,0.48,121,55,88,26.4,1.61,3.44,1.83,2.708,0.8784,3.44,0,2,3,2.8,1.44,4,0,0,0,0,0,0,3,3,4.8,1.44,6,0,0,2,5,3,3.2,1.44,2,0,0,0,0,2,3,3.2,1.44,2,9.105,7.375,12.055,3.54,9.105,0,0,0,225,213,97.2,102.24,12,-2,5,3.535533906,-37.74408108,0.073529628,1.06127469,0.908087965,0.035890854,0.175312549,0.139421695,0.119543871,0.066922413,0.126389569,0.054228567,1,0,3.135882049,1.974369129,1.856188895,1.915279012,2.728247604,2.527926491,2.651882345,-36.54849566,26.35688963,28.447642,119.9924,86.95286016,19.22862322,8.523150058
AlV2O4,1,../data/Structures/Insulators/AlV2O4_CollCode_60413.cif,87,41,15.67346939,34.9421,27.55173409,13.36558052,15.9994,2128.2,788.3814286,838.3787755,11,4.244897959,16,4,2,2.714285714,0.816326531,153,87,98.71428571,37.3877551,1.61,3.44,1.83,2.661428571,0.889795918,3.44,0,2,4,2.428571429,1.795918367,4,3,0.857142857,1.224489796,0,0,0,3,3,5.285714286,0.816326531,6,0,0,0,5,5,1.857142857,1.06122449,2,7,2.857142857,0,0,2,5,3.857142857,2.12244898,2,9.105,7.375,11.27428571,2.479183673,9.105,0,0,0,229,217,104.4285714,105.6326531,12,-2,5,2.977694858,-32.83147909,0.059111884,1.051722898,0.90518687,0,0.187272847,0.187272847,0.129136275,0.073792157,0.095998437,0.14930622,1,0,2.896309376,2.039840899,2.039840899,2.039840899,2.919479851,2.873138901,2.896332546,-29.2221266,25.32212493,21.97255,38.01005,11.06577629,17.80168302,9.817068105
Au2O3,1,../data/Structures/Insulators/Au2O3_CollCode_8014.cif,87,21,10.08,180.967169,88.3862676,86.86424112,15.9994,1282.53,567.812,615.6144,5,2.4,16,6,4,3.6,1.92,136,70,94,33.6,2.54,3.44,0.9,3.08,0.432,3.44,0.48,2,4,2.4,1.92,4,10,4,4.8,0,14,6.72,6,19,13.6,9.12,6,1,0.48,0,2,2,1.2,0.96,2,0,0,0,0,1,1,1.6,0.48,2,9.105,7.595,12.143,3.6456,9.105,0,0,0,225,213,97.2,102.24,12,-2,7,3.683941988,-33.38976958,0.047452561,1.072457628,0.940684299,0.1659395,0.18338947,0.01744997,0.178331649,0.00495686,0.081315717,0.111325259,1,0,3.331783024,2.903863716,1.92919966,2.191840241,3.228669461,2.732417617,2.927423659,-32.39798799,23.67119403,30,45,10.67809491,11.78870381,12.94749684
BaCoS2,1,../data/Structures/Insulators/BaCoS2_CollCode_246938.cif,88,79,27.25,105.262,65.09754875,36.11472563,32.065,1379.64,886.18,497.82,14,5.25,16,6,3,4,1,215,110,137.75,38.625,0.89,2.58,1.69,1.9825,0.5975,2.58,0,2,4,2,2,4,7,1.75,2.625,0,0,0,2,7,5.75,1.875,6,0,0,0,2,2,1,1,2,3,1.125,0,0,0,3,1.75,0.875,2,10.245,53.345,31.3521875,16.11890625,25.786875,1.101,2.202,0.5806767,229,159,140.75,70.75,70,-2,4,2.529822128,-18.01334826,0.099803818,1.115416862,0.853725569,0.045592625,0.176998919,0.131406294,0.110857713,0.036016856,0.249545327,0.338819025,1,0,3.613249947,2.441633225,2.25894496,2.371241691,3.864181659,3.220114127,3.711307315,-20.68325819,19.47941891,17.0844,33.5,12.43036504,21.73164098,23.31379413
BaPrO3,1,../data/Structures/Insulators/BaPrO3_CollCode_163752.cif,87,78,35.52,124.90825,65.24657,59.096604,15.9994,1149.2,473.68,502.656,14,6.48,16,6,4,3.6,1.92,215,149,123.2,68.64,0.89,3.44,2.55,2.468,1.1664,3.44,0,2,4,2.4,1.92,4,0,0,0,0,3,0.96,2,4,5,1.2,6,0,0,0,2,2,1.2,0.96,2,0,0,11,3.52,0,11,3.4,3.04,2,9.105,54.485,25.316,19.4532,9.105,0,0,0,229,217,91.8,95.76,12,-2,6,3.380617019,-32.37008663,0.077816618,1.084964816,0.805458454,0.002533328,0.138410626,0.135877297,0.094515891,0.045525673,0.137230606,0.14930622,1,0,4.371117416,2.229137198,2.21611213,2.223413863,4.050748712,3.11605634,3.288564474,-39.87509161,21.21977787,38.981,57.53,15.25472793,7.926683861,16.7346807
BaSnO3,1,../data/Structures/Insulators/BaSnO3_CollCode_188149.cif,87,78,24.4,121.3276,60.80704,53.769168,15.9994,945.2,333.896,334.9152,14,4.32,16,6,4,3.4,1.68,215,149,110.4,53.28,0.89,3.44,2.55,2.634,0.9672,3.44,0,2,4,2.8,1.44,4,10,2,3.2,0,0,0,2,12,6.8,2.88,6,0,0,0,4,4,2,0.8,2,0,0,0,0,0,4,2,0.8,2,9.105,54.485,24.838,18.8796,9.105,0,0,0,229,217,81.2,83.04,12,-2,6,3.380617019,-34.63580085,0.084157582,1.116671577,0.789606045,1.90693E-16,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.105303368,1,0,4.1168,2.0584,2.0584,2.0584,2.911017197,2.911017197,2.911017197,-43.29361434,22.58132481,40.74,77.03,32.7922226,10.42856836,13.95434006
BaTiO3,1,../data/Structures/Insulators/BaTiO3_CollCode_67519.cif,87,78,29.28,121.3276,46.63844,36.766848,15.9994,1886.2,621.08,679.536,14,6.24,16,6,4,3.2,1.44,215,149,114.6,58.32,0.89,3.44,2.55,2.55,1.068,3.44,0,2,4,2.4,1.92,4,2,0.4,0.64,0,0,0,2,4,4.8,1.44,6,0,0,0,2,2,1.2,0.96,2,8,2.56,0,0,0,8,2.8,2.08,2,9.105,54.485,21.519,16.8284,9.105,0,0,7.21067E-06,229,217,91.8,95.76,12,-2,6,3.380617019,-35.59524577,0.084157142,1.116671227,0.789607146,0.001016065,0.123139063,0.122122998,0.074051078,0.058027954,0.15,0.381174059,1,0,3.9998,2.009,1.9999,2.002175,2.834727678,2.828285703,2.832150888,-44.49288883,23.242755,43.26717,99.299,52.4317375,9.565654137,12.85631427
Ca(FeO2)2,1,../data/Structures/Insulators/CaFe2O4_CollCode_291004.cif,87,80,23.51020408,39.8456,30.82365714,16.94200816,15.9994,1756.2,708.0285714,746.5469388,14,4.897959184,16,4,2,2.857142857,0.979591837,176,110,100.5714286,39.51020408,1,3.44,2.44,2.631428571,0.924081633,3.44,0,2,4,2.285714286,1.959183673,4,6,1.714285714,2.448979592,0,0,0,2,6,6,1.142857143,6,0,0,0,2,2,1.142857143,0.979591837,2,4,1.632653061,0,0,0,4,2.285714286,0.979591837,2,9.105,28.665,13.66428571,6.887346939,9.105,0,0,0.86149502,229,217,104.4285714,105.6326531,12,-2,5,3.082207001,-31.39312338,0.064559276,1.071624369,0.8795041,0.017020501,0.154990041,0.13796954,0.094135238,0.051394947,0.108953975,0.151779026,1,0,3.438236817,2.076425143,1.979739159,2.035845308,3.445581736,2.63700592,2.962034104,-34.27727408,23.81083637,30.651,54.91,20.07090861,12.65323741,10.6232132
Ca2.668La1.332Mn4O12,1,../data/Structures/Insulators/La33Ca67Mn100O300_CollCode_56519.cif,87,80,27.12048,122.90607,35.1847585,23.0224302,15.9994,1464.2,564.8748,612.08976,14,5.44008,16,6,4,2.9332,1.11984,207,141,104.6646,46.39752,1,3.44,2.44,2.58066,1.031208,3.44,0,2,4,2.4,1.92,4,5,1.0666,1.57336,0,0,0,2,5,5.4666,1.25344,6,0,0,0,2,2,1.2,0.96,2,9,2.34599992,0,0,0,9,2.7994,1.70615992,2,9.105,28.665,15.05640874,8.969219503,9.105,0,0,9.92386E-05,225,213,93.5354,97.84248,12,-2,5.67,3.282877484,-35.84378978,0.078638858,1.088030532,0.803402855,0.004326601,0.131093261,0.12676666,0.090543966,0.045708774,0.139085191,0.14930622,0,1,3.794220421,1.935441077,1.918361655,1.926364214,3.400210249,2.708948667,2.850590792,-43.49330993,23.99061748,45.42114,65.414,16.19770621,6.876931184,10.95912564
Ca2AlFeO5,1,../data/Structures/Insulators/Ca2(FeAl)O5_CollCode_9197.cif,87,80,27.40740741,39.8456,26.99772651,12.2239601,15.9994,1756.2,583.1633333,587.0703704,14,5.111111111,16,4,2,2.777777778,0.864197531,176,110,103.8888889,42.09876543,1,3.44,2.44,2.515555556,1.027160494,3.44,0,2,4,2.333333333,1.851851852,4,6,0.666666667,1.185185185,0,0,0,2,6,5,1.777777778,6,0,0,0,5,5,1.666666667,1.111111111,2,4,0.790123457,0,0,0,5,2.111111111,1.061728395,2,9.105,28.665,16.475,9.465555556,9.105,0,0,0.416921047,229,217,107.1111111,105.6790123,12,-2,5,2.877498914,-29.81361393,0.075815398,1.075691517,0.791887369,0.0679864,0.191670769,0.123684368,0.126261848,0.043535349,0.149267484,0.14930622,0,1,3.656865866,2.216551149,1.707892116,1.931945279,3.568639351,2.687122772,2.998158407,-35.14641773,25.27044862,30.651,54.91,20.32129746,14.60160426,12.17007982
Ca2CrOsO6,1,../data/Structures/Insulators/Ca2CrOsO6_RoomT_CollCode_239672.cif,87,80,27.36,174.2306,41.83785,31.71008,15.9994,3251.2,804.48,899.616,14,5.52,16,6,4,3,1.2,176,110,103.1,44.52,1,3.44,2.44,2.65,0.948,3.44,0.18,2,4,2.4,1.92,4,6,1.1,1.76,0,14,2.52,2,20,6.8,3.04,6,1,0.18,0,2,2,1.2,0.96,2,5,1.44,0,0,0,6,2.2,1.12,2,9.105,28.665,15.545,8.89,9.105,0,0,0,229,217,94.5,99,12,-2,7,3.373323338,-31.64547549,0.084916843,1.134990553,0.801539242,0.059224912,0.138661231,0.079436319,0.114907669,0.025529121,0.160601028,0.583869088,1,0,5.400250138,2.263151972,1.610077846,1.936614909,3.287152166,2.738248383,2.86378755,-44.29215417,28.59516414,55,70.1,12.43352166,2.741028212,11.16179547
Ca2Fe2O5,1,../data/Structures/Insulators/Ca2Fe2O5_CollCode_15059.cif,87,80,27.65432099,39.8456,30.20477778,15.78375309,15.9994,1756.2,680.6666667,695.4074074,14,5.432098765,16,4,2,2.888888889,0.987654321,176,110,105.1111111,43.45679012,1,3.44,2.44,2.54,1,3.44,0,2,4,2.222222222,1.975308642,4,6,1.333333333,2.074074074,0,0,0,2,6,5.555555556,1.580246914,6,0,0,0,2,2,1.111111111,0.987654321,2,4,1.382716049,0,0,0,4,2,0.888888889,2,9.105,28.665,15.83611111,9.748395062,9.105,0,0,0.729611832,229,217,107.5555556,106.1728395,12,-2,5,2.936835031,-29.25492376,0.06719899,1.063118116,0.847761678,0.046093203,0.198406936,0.152313732,0.127197959,0.045601448,0.136438988,0.081921178,1,0,3.698883073,2.118192711,1.836938318,1.960396599,3.602915844,2.716143274,3.029650012,-33.61127676,25.49082599,30.651,54.91,20.36602752,13.39501284,12.45937967
Ca3Mn4BiO12,1,../data/Structures/Insulators/Ca75Bi25Mn100O300_CollCode_291046.cif,87,80,24.665,192.981,37.047969,25.2582828,15.9994,1464.2,531.15,571.62,14,5.035,16,6,4,2.9,1.08,176,110,101.2,42.24,1,3.44,2.44,2.625,0.978,3.44,0,2,4,2.55,1.785,4,10,1.5,2.25,0,14,1.33,2,27,6.75,2.325,6,0,0,0,3,3,1.35,0.945,2,5,1.6,0,0,0,5,2.35,1.125,2,9.105,28.665,14.87351724,8.676593103,9.105,0,0,9.92386E-05,225,213,84.95,94.835,12,-2,9,3.43996124,-36.30929217,0.07596857,1.076234388,0.810078576,0.004561119,0.136931754,0.132370636,0.093892071,0.044842964,0.134485443,0.14930622,0,1,3.772054732,1.932900103,1.918703643,1.925922944,3.303149497,2.704842822,2.830035287,-43.99969688,24.36064173,46.8245,67.11,16.46804479,6.348269697,10.76009516
